Date,Close/Last,Volume,Open,High,Low
03/08/2017,$103.22,7064946,$102.63,$104.29,$102.54
03/07/2017,$102.63,4980492,$102.30,$103.3078,$102.11
03/06/2017,$102.31,6271374,$102.76,$103.25,$102.10
03/03/2017,$103.31,6313293,$102.99,$103.42,$102.44
03/02/2017,$103.19,7970738,$103.80,$104.58,$102.77
03/01/2017,$104.04,10324960,$103.68,$104.99,$103.21
02/28/2017,$102.90,8007397,$103.89,$103.99,$102.03
02/27/2017,$103.60,6860807,$102.50,$103.825,$102.2201
02/24/2017,$102.95,7356362,$101.39,$103.00,$101.30
02/23/2017,$102.46,10088960,$104.72,$104.86,$101.82
02/22/2017,$104.20,15772600,$102.48,$105.20,$102.42
02/21/2017,$102.12,8179989,$101.03,$102.54,$100.91
02/17/2017,$100.52,8237860,$100.69,$101.73,$100.30
02/16/2017,$100.82,7457191,$101.86,$102.10,$100.50
02/15/2017,$101.55,12379520,$102.06,$102.13,$100.11
02/14/2017,$101.59,10229280,$103.14,$103.60,$100.896
02/13/2017,$103.10,9722892,$102.82,$104.44,$102.62
02/10/2017,$102.36,7675084,$103.88,$103.94,$102.31
02/09/2017,$103.34,8421821,$103.325,$104.18,$102.56
02/08/2017,$103.57,10169200,$101.55,$103.99,$101.16
02/07/2017,$100.83,5647856,$101.04,$101.60,$100.50
02/06/2017,$100.90,6784375,$100.17,$101.706,$100.02
02/03/2017,$100.39,6184364,$101.50,$101.56,$100.30
02/02/2017,$100.84,5363044,$101.28,$101.47,$100.56
02/01/2017,$101.57,5726905,$102.07,$102.38,$100.87
01/31/2017,$101.31,7522294,$100.24,$102.09,$100.06
01/30/2017,$101.02,8611044,$101.20,$101.46,$100.09
01/27/2017,$102.07,8028976,$102.25,$102.70,$101.29
01/26/2017,$102.75,12500030,$103.92,$104.57,$102.17
01/25/2017,$104.06,23306790,$102.46,$104.27,$101.90
01/24/2017,$101.43,37142250,$103.15,$103.19,$99.94
01/23/2017,$98.41,13997100,$96.48,$98.67,$96.26
01/20/2017,$96.06,9652714,$96.45,$97.15,$95.6707
01/19/2017,$96.17,7085970,$96.42,$96.70,$95.58
01/18/2017,$96.00,6587018,$96.27,$96.27,$95.26
01/17/2017,$96.12,6340299,$96.32,$96.59,$95.00
01/13/2017,$96.27,10687930,$95.95,$97.38,$95.76
01/12/2017,$95.90,8412007,$96.85,$96.85,$94.80
01/11/2017,$96.94,8723400,$96.92,$97.45,$95.60
01/10/2017,$96.75,14759640,$96.40,$97.904,$95.55
01/09/2017,$94.72,10817620,$94.16,$95.65,$93.31
01/06/2017,$93.89,7597513,$94.40,$94.50,$93.00
01/05/2017,$94.37,16787830,$91.91,$94.81,$91.64
01/04/2017,$90.51,11462690,$88.985,$90.89,$88.58
01/03/2017,$88.60,8786988,$89.00,$89.00,$88.08
12/30/2016,$87.81,7208711,$87.57,$88.10,$87.20
12/29/2016,$87.33,5465067,$87.82,$88.20,$87.16
12/28/2016,$87.37,6413099,$88.30,$88.75,$87.22
12/27/2016,$87.54,5215202,$86.72,$87.94,$86.71
12/23/2016,$86.79,6358390,$86.62,$87.68,$86.62
12/22/2016,$86.80,14368590,$87.89,$88.26,$86.01
12/21/2016,$89.25,9021352,$89.96,$90.43,$89.25
12/20/2016,$89.84,8424608,$89.19,$90.31,$88.94
12/19/2016,$88.93,10206940,$88.61,$89.82,$88.41
12/16/2016,$88.67,11322450,$89.00,$90.10,$88.56
12/15/2016,$88.85,19170560,$90.00,$90.60,$88.74
12/14/2016,$91.19,9148677,$91.83,$92.26,$90.83
12/13/2016,$92.16,10450390,$92.80,$93.73,$91.87
12/12/2016,$92.47,9347017,$92.05,$92.89,$91.70
12/09/2016,$93.28,9162923,$92.51,$93.64,$92.28
12/08/2016,$92.31,10907560,$91.80,$93.08,$91.03
12/07/2016,$91.07,13218170,$90.52,$91.65,$89.50
12/06/2016,$90.40,7772578,$91.56,$91.93,$89.96
12/05/2016,$90.99,8862879,$90.05,$91.40,$89.57
12/02/2016,$90.48,11711150,$90.38,$91.74,$89.95
12/01/2016,$89.86,24008200,$94.00,$94.055,$89.18
11/30/2016,$94.02,11415540,$95.28,$95.48,$93.30
